time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-14T11:52:18.870Z,-17.8444,-172.2689,10,4.6,mb,,135,2.538,1.31,us,us100088vg,2017-03-14T16:21:29.899Z,"202km ENE of Neiafu, Tonga",earthquake,12.2,1.9,0.094,34,reviewed,us,us
2017-03-14T11:47:58.950Z,9.7662,125.3667,58.52,4.6,mb,,109,2.687,0.87,us,us100088vj,2017-03-15T10:47:10.179Z,"6km W of San Francisco, Philippines",earthquake,10.4,7.9,0.067,66,reviewed,us,us
2017-03-14T11:27:18.560Z,50.4693,177.0855,29,4.2,mb,,209,1.67,1.02,us,us100088vc,2017-03-14T17:34:11.834Z,"185km SSW of Kiska Volcano, Alaska",earthquake,9.5,8.3,0.064,68,reviewed,us,us
2017-03-14T11:07:11.400Z,39.2694,73.4711,10,5.1,mb,,81,2.245,0.89,us,us100088v9,2017-03-14T11:26:21.040Z,"30km NNW of Karakul, Tajikistan",earthquake,5.9,1.8,0.048,141,reviewed,us,us
2017-03-14T09:13:27.980Z,-3.337,137.5581,68.52,4.9,mb,,97,5.317,1.12,us,us100088uy,2017-03-14T09:31:48.040Z,"148km ENE of Enarotali, Indonesia",earthquake,9.1,4.5,0.084,44,reviewed,us,us
2017-03-14T08:33:40.020Z,36.7321667,-121.0056667,4.6,2.94,ml,68,79,0.08827,0.16,nc,nc72775221,2017-03-15T05:24:02.784Z,"33km ESE of Ridgemark, California",earthquake,0.24,1.02,0.223,28,reviewed,nc,nc
2017-03-14T06:56:38.880Z,31.6366,141.7827,10,4.7,mb,,117,2.224,1.13,us,us100088uh,2017-03-14T07:20:23.040Z,"246km SE of Hachijo-jima, Japan",earthquake,9.6,1.9,0.057,92,reviewed,us,us
2017-03-14T06:04:38.900Z,17.4871,-63.5905,49,3.4,Md,4,342,1.55678039,0.25,pr,pr17073003,2017-03-14T08:48:36.819Z,"39km WSW of The Bottom, Bonaire, Saint Eustatius and Saba ",earthquake,5.3,19.6,0,2,reviewed,pr,pr
2017-03-14T05:55:21.830Z,0.6764,121.1553,79.23,5.6,mb,,36,0.571,0.96,us,us100088tq,2017-03-14T16:19:17.040Z,"48km WNW of Lemito, Indonesia",earthquake,6.7,1.9,0.079,72,reviewed,us,us
2017-03-14T05:08:22.140Z,34.0368333,-116.8721667,8.58,2.8,ml,129,16,0.05349,0.17,ci,ci37828552,2017-03-14T15:25:42.562Z,"12km N of Banning, CA",earthquake,0.09,0.27,0.148,128,reviewed,ci,ci
2017-03-14T05:06:54.460Z,34.0388333,-117.2386667,17.64,3.61,mw,182,15,0.01436,0.2,ci,ci37828544,2017-03-16T06:10:33.011Z,"2km ESE of Loma Linda, CA",earthquake,0.11,0.22,,4,reviewed,ci,ci
2017-03-14T04:36:30.320Z,-5.6735,110.1787,541.23,5.2,mb,,72,1.391,0.82,us,us100088t6,2017-03-14T16:44:34.685Z,"107km NNW of Batang, Indonesia",earthquake,10.1,9.9,0.217,7,reviewed,us,us
2017-03-14T03:56:48.920Z,42.7059,142.701,92.35,4.7,mwr,,96,0.768,0.74,us,us100088sq,2017-03-14T12:46:31.163Z,"47km WSW of Obihiro, Japan",earthquake,5.5,5.8,0.08,15,reviewed,us,us
2017-03-14T03:26:23.300Z,19.4825,-65.2395,25,2.8,Md,3,331.2,1.15523346,0.18,pr,pr17073002,2017-03-14T08:47:41.663Z,"130km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.3,17,0,2,reviewed,pr,pr
2017-03-14T03:04:12.100Z,19.1506,-64.9981,24,3.4,Md,11,288,0.79500903,0.4,pr,pr17073001,2017-03-14T08:47:01.533Z,"89km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.3,32.5,0,10,reviewed,pr,pr
2017-03-14T02:51:16.850Z,6.1292,92.3167,10,6,mww,,34,4.694,1.25,us,us100088sf,2017-03-15T15:10:42.332Z,"231km SSW of Mohean, India",earthquake,8.2,1.8,,,reviewed,us,us
2017-03-14T02:00:24.480Z,36.8821667,-121.6195,7.65,2.56,md,63,28,0.0222,0.09,nc,nc72775066,2017-03-16T04:34:02.230Z,"2km ESE of Aromas, California",earthquake,0.14,0.24,0.165,89,reviewed,nc,nc
2017-03-14T00:18:35.040Z,17.5198,-62.798,107.11,4.3,mb,,108,0.177,0.52,us,us100088s5,2017-03-14T03:35:02.507Z,"11km N of Dieppe Bay Town, Saint Kitts and Nevis",earthquake,5.5,5.3,0.114,22,reviewed,us,us
